index,people,doorOpen,doorLocked,timestamp,peopleAllowd
393,0,0,0,5/4/2021 10:57,9
394,0,0,0,5/4/2021 10:57,9
395,0,0,0,5/4/2021 10:57,9
396,0,1,0,5/4/2021 10:58,9
397,0,0,0,5/4/2021 10:58,9
398,0,1,0,5/4/2021 10:58,9
399,0,0,0,5/4/2021 10:58,9
400,0,0,1,5/4/2021 10:58,9
401,0,0,0,5/4/2021 10:58,9
402,0,1,0,5/4/2021 10:58,9
403,0,0,1,5/4/2021 10:58,9
404,0,0,0,5/4/2021 10:58,9
405,0,1,0,5/4/2021 10:58,9
406,0,1,0,5/4/2021 11:00,9
407,0,1,0,5/4/2021 11:02,9
408,0,0,1,5/4/2021 11:02,9
409,0,0,0,5/4/2021 11:02,9
410,0,1,0,5/4/2021 11:02,9
411,0,0,0,5/4/2021 11:02,9
412,0,1,0,5/4/2021 11:02,9
413,0,0,0,5/4/2021 11:02,9
414,0,1,0,5/4/2021 11:02,9
415,0,0,1,5/4/2021 11:02,9
416,0,0,0,5/4/2021 11:02,9
417,0,0,1,5/4/2021 11:02,9
418,0,0,1,5/4/2021 11:04,9
419,0,0,1,5/4/2021 11:06,9
420,0,0,0,5/4/2021 11:06,9
421,0,1,0,5/4/2021 11:06,9
422,0,0,0,5/4/2021 11:06,9
423,0,1,0,5/4/2021 11:06,9
424,0,0,0,5/4/2021 11:06,9
425,0,1,0,5/4/2021 11:06,9
426,0,0,1,5/4/2021 11:06,9
427,0,0,0,5/4/2021 11:06,9
428,0,1,0,5/4/2021 11:06,9
429,0,0,1,5/4/2021 11:06,9
430,0,1,0,5/4/2021 11:06,9
431,0,0,1,5/4/2021 11:07,9
432,0,1,0,5/4/2021 11:07,9
433,1,1,0,5/4/2021 11:07,9
434,1,0,0,5/4/2021 11:07,9
435,1,1,0,5/4/2021 11:07,9
436,0,1,0,5/4/2021 11:08,9
437,0,1,0,5/4/2021 11:10,9
438,0,0,1,5/4/2021 11:10,9
439,0,0,0,5/4/2021 11:10,9
440,0,1,0,5/4/2021 11:10,9
441,0,0,0,5/4/2021 11:10,9
442,0,1,0,5/4/2021 11:10,9
443,0,0,1,5/4/2021 11:10,9
444,0,1,0,5/4/2021 11:10,9
445,0,1,0,5/4/2021 11:13,9
446,0,1,0,5/4/2021 11:14,9
447,0,0,1,5/4/2021 11:15,9
448,0,0,0,5/4/2021 11:15,9
449,0,0,1,5/4/2021 11:15,9
450,0,0,0,5/4/2021 11:15,9
451,0,1,0,5/4/2021 11:15,9
452,0,0,0,5/4/2021 11:15,9
453,0,1,0,5/4/2021 11:15,9
454,0,0,0,5/4/2021 11:15,9
455,0,0,1,5/4/2021 11:15,9
456,0,1,0,5/4/2021 11:15,9
457,0,0,0,5/4/2021 11:16,9
458,0,1,0,5/4/2021 11:16,9
459,0,0,0,5/4/2021 11:16,9
460,0,0,1,5/4/2021 11:16,9
461,0,1,0,5/4/2021 11:16,9
462,0,1,0,5/4/2021 11:17,9
463,0,1,0,5/4/2021 11:19,9
464,0,1,0,5/4/2021 11:22,9
465,0,1,0,5/4/2021 11:25,9
466,0,0,0,5/4/2021 11:25,9
467,0,1,0,5/4/2021 11:25,9
468,0,0,1,5/4/2021 11:25,9
469,0,1,0,5/4/2021 11:25,9
470,0,0,1,5/4/2021 11:25,9
471,0,0,0,5/4/2021 11:25,9
472,0,1,0,5/4/2021 11:25,9
473,0,0,0,5/4/2021 11:25,9
474,0,1,0,5/4/2021 11:25,9
475,0,0,1,5/4/2021 11:25,9
476,0,1,0,5/4/2021 11:25,9
477,0,1,0,5/4/2021 11:25,9
478,0,1,0,5/4/2021 11:26,9
479,0,0,0,5/4/2021 11:26,9
