index,powerInn,timestamp
389,,5/13/2021 4:00
390,,5/13/2021 4:30
391,0.016,5/13/2021 5:00
392,0.144,5/13/2021 5:30
393,0.304,5/13/2021 6:00
394,0.529,5/13/2021 6:30
395,0.778,5/13/2021 7:00
396,1.268,5/13/2021 7:30
397,1.829,5/13/2021 8:00
398,2.449,5/13/2021 8:30
399,3.066,5/13/2021 9:00
400,3.745,5/13/2021 9:30
401,4.423,5/13/2021 10:00
402,4.948,5/13/2021 10:30
403,5.18,5/13/2021 11:00
404,5.052,5/13/2021 11:30
405,4.574,5/13/2021 12:00
406,4.08,5/13/2021 12:30
407,3.684,5/13/2021 13:00
408,2.732,5/13/2021 13:30
409,2.274,5/13/2021 14:00
410,2.957,5/13/2021 14:30
411,3.585,5/13/2021 15:00
412,3.686,5/13/2021 15:30
413,3.511,5/13/2021 16:00
414,3.8,5/13/2021 16:30
415,3.857,5/13/2021 17:00
416,3.491,5/13/2021 17:30
417,2.876,5/13/2021 18:00
418,2.202,5/13/2021 18:30
419,1.599,5/13/2021 19:00
420,1.008,5/13/2021 19:30
421,0.664,5/13/2021 20:00
422,0.459,5/13/2021 20:30
423,0.269,5/13/2021 21:00
424,0.126,5/13/2021 21:30
425,0.016,5/13/2021 22:00
426,,5/13/2021 22:30
427,,5/13/2021 23:00
428,,5/13/2021 23:30
429,,5/14/2021 0:00
